City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,ramhormoz,31.28,49.6035,294.7,71,100,5.69,IR,1700434980
183,flying fish cove,-10.4217,105.6791,298.3,76,96,6.87,CX,1700434629
184,balsas,-7.5325,-46.0356,298.93,83,69,3.21,BR,1700434980
185,tabou,4.423,-7.3528,298.78,89,93,2.63,CI,1700434690
186,xicotencatl,23.0167,-98.8833,302.4,52,0,5.13,MX,1700434981
187,tinogasta,-28.0632,-67.5649,298.31,29,0,3.53,AR,1700434981
188,nova vicosa,-17.8919,-39.3719,298.59,77,41,4.04,BR,1700434981
189,saskatoon,52.1168,-106.6345,283.14,50,20,5.66,CA,1700434695
190,ilulissat,69.2167,-51.1,266.7,66,99,5.9,GL,1700434603
191,harper,4.375,-7.7169,298.94,88,86,3.2,LR,1700434982
192,al bahah,20.0129,41.4677,288.83,80,100,5.66,SA,1700434982
193,aral,40.5156,81.2636,277.65,22,39,1.89,CN,1700434983
194,mocimboa,-11.3167,40.35,298.25,94,8,2.45,MZ,1700434703
195,afaahiti,-17.75,-149.2833,303.08,91,100,9.35,PF,1700434639
196,buka,40.8108,69.1986,284.67,76,11,0.96,UZ,1700434628
197,olinda,-8.0089,-34.8553,301.0,74,40,4.63,BR,1700434631
198,mhamid,29.82,-5.72,291.04,23,0,2.53,MA,1700434983
199,pangoa,-12.1167,-73.0,297.57,84,100,1.35,PE,1700434984
200,tolanaro,-25.0319,46.9987,297.19,88,20,6.69,MG,1700434618
201,stephenville,32.2207,-98.2023,291.02,93,100,4.63,US,1700434834
202,songea,-10.6833,35.65,292.58,89,9,2.35,TZ,1700434984
203,aasiaat,68.7098,-52.8699,265.84,82,100,3.71,GL,1700434665
204,kingston,17.997,-76.7936,302.68,74,75,1.03,JM,1700434629
205,brokopondo,4.75,-55.1667,299.61,81,73,2.22,SR,1700434985
206,talnakh,69.4865,88.3972,243.26,100,63,1.01,RU,1700434607
207,medyn',54.9692,35.8586,265.79,67,100,1.34,RU,1700434986
208,codrington,-38.2667,141.9667,288.35,82,100,4.44,AU,1700434611
209,elkins,38.9259,-79.8467,279.52,68,0,0.0,US,1700434986
210,gadzhiyevo,69.2551,33.3362,261.1,96,99,3.53,RU,1700434666
211,taltal,-25.4,-70.4833,287.86,83,66,1.66,CL,1700434831
212,merta,26.65,74.0333,291.03,40,0,2.84,IN,1700434987
213,isafjordur,66.0755,-23.124,275.02,85,89,3.27,IS,1700434606
214,piti village,13.4626,144.6933,303.32,85,72,5.0,GU,1700434635
215,san luis,-33.295,-66.3356,297.24,42,5,2.33,AR,1700434989
216,chagoda,59.164,35.3285,264.13,97,56,1.15,RU,1700434989
217,nuku'alofa,-21.1333,-175.2,297.34,100,100,2.06,TO,1700434674
218,rouissat,31.9243,5.3502,291.19,55,0,3.6,DZ,1700434990
219,det udom,14.906,105.0784,291.05,90,9,1.57,TH,1700434690
220,develi,38.3906,35.4922,272.79,90,92,3.27,TR,1700434991
221,quellon,-43.1167,-73.6167,285.03,90,100,8.56,CL,1700434638
222,mirnyy,62.5353,113.9611,266.06,92,100,3.13,RU,1700434991
223,andergrove,-21.0833,149.1833,300.18,69,100,3.47,AU,1700434992
224,celestun,20.8667,-90.4,298.82,75,28,2.21,MX,1700434620
225,constantia,44.1833,28.65,273.54,71,85,6.14,RO,1700434614
226,creel,27.75,-107.6333,289.07,23,16,6.31,MX,1700434993
227,borogontsy,62.6683,131.1683,249.77,93,100,4.25,RU,1700434994
228,dolores,-36.3132,-57.6792,291.69,36,69,3.41,AR,1700434995
229,tarko-sale,64.9225,77.785,249.8,95,97,5.34,RU,1700434996
230,alofi,-19.0595,-169.9187,301.09,65,48,7.2,NU,1700434616
231,guerrero negro,27.9769,-114.0611,293.51,71,92,9.62,MX,1700434609
232,sechura,-5.5569,-80.8222,292.29,95,78,7.65,PE,1700434997
